id,doi,display_name,publication_year,publication_date,type,type_crossref,cited_by_count,is_oa,open_access_status,primary_location_source,primary_location_landing_page_url,primary_location_pdf_url,authorships_count,first_author
https://openalex.org/W2335431403,https://doi.org/10.1016/j.toxlet.2013.05.088,Human bioaccumulation potential simulated in R and implemented into KNIME interface,2013,2013-08-01,article,,0,False,closed,Toxicology Letters,https://doi.org/10.1016/j.toxlet.2013.05.088,,5,Alicia Paini
https://openalex.org/W4416121333,https://doi.org/10.62273/qoir5976,Teaching Tip: AI and Machine Learning for Business and Information Systems Education Using KNIME,2025,2025-01-01,article,,0,True,bronze,Journal of Information Systems Education,https://doi.org/10.62273/qoir5976,https://jise.org/Volume36/n4/JISE2025v36n4pp352-366.pdf,1,Mohanad Halaweh
https://openalex.org/W2999645440,https://doi.org/10.1016/j.cmpb.2020.105343,Application of data mining in a cohort of Italian subjects undergoing myocardial perfusion imaging at an academic medical center,2020,2020-01-16,article,,49,False,closed,Computer Methods and Programs in Biomedicine,https://doi.org/10.1016/j.cmpb.2020.105343,,8,Carlo Ricciardi
https://openalex.org/W7108214529,https://doi.org/10.5281/zenodo.17775760,Develop an LLM-based framework for translating KNIME workflows into Galaxy Imaging workflows,2025,2025-12-01,article,,0,True,green,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.17775760,,5,"Nguyen, Khanh Xuan"
https://openalex.org/W3175209873,,Nodos Knime para ajustar modelos usando la biblioteca de clases BiCIAM,2021,2021-03-07,article,,0,False,closed,,https://rctd.uic.cu/rctd/article/view/102,,3,Taday González Chaveco
https://openalex.org/W4388069276,https://doi.org/10.29235/1561-8323-2023-67-5-388-398,Predictive model for identifying new CYP19A1 ligands on the KNIME analytical platform,2023,2023-10-31,article,,0,True,diamond,Doklady of the National Academy of Sciences of Belarus,http://dx.doi.org/10.29235/1561-8323-2023-67-5-388-398,https://doklady.belnauka.by/jour/article/download/1152/1151,3,M. I. Shaladonova
https://openalex.org/W2924234733,https://doi.org/10.1093/bioinformatics/btz204,maTE: discovering expressed interactions between microRNAs and their targets,2019,2019-03-19,article,,57,False,closed,Bioinformatics,https://doi.org/10.1093/bioinformatics/btz204,,3,Malik Yousef
https://openalex.org/W2409982462,https://doi.org/10.1016/j.tox.2016.05.026,Multiscale modelling approaches for assessing cosmetic ingredients safety,2016,2016-06-04,article,,29,True,hybrid,Toxicology,https://doi.org/10.1016/j.tox.2016.05.026,https://ars.els-cdn.com/content/image/1-s2.0-S0300483X16300890-fx1_lrg.jpg,10,Frédéric Y. Bois
https://openalex.org/W7113655665,,Reconstructing Gene Regulatory Networks from Time-Series Data in KNIME,2025,2025-11-09,article,,0,False,closed,ISU Red - Research and eData (Illinois State University),https://ir.library.illinoisstate.edu/beer/2025/parallel_session_3/17,,1,"Robeva, Raina"
https://openalex.org/W4223900207,https://doi.org/10.3390/bioengineering9040172,Machine Learning and Regression Analysis to Model the Length of Hospital Stay in Patients with Femur Fracture,2022,2022-04-14,article,,33,True,gold,Bioengineering,https://doi.org/10.3390/bioengineering9040172,https://www.mdpi.com/2306-5354/9/4/172/pdf?version=1649985507,9,Carlo Ricciardi
